idx,lr,epochs,dropout,layers,neurons,test_rmse,test_mae,test_r2
142,0.005,100,0.7,7,50,0.640139875,0.494296148,-0.003251835
167,0.001,50,0.5,7,100,0.64838196,0.494402364,-0.030102587
180,0.001,100,0.2,2,20,0.738396393,0.494587436,-0.389413399
270,0.0005,100,0.5,5,20,0.651181095,0.496161833,-0.037573578
214,0.001,100,0.7,7,50,0.650429235,0.497157007,-0.03606617
211,0.001,100,0.7,5,50,0.651122335,0.497713074,-0.04004021
271,0.0005,100,0.5,5,50,0.653983602,0.498832554,-0.047521302
207,0.001,100,0.7,3,20,0.655385884,0.499031425,-0.052303851
273,0.0005,100,0.5,7,20,0.654772687,0.499188825,-0.048755086
287,0.0005,100,0.7,7,100,0.656597597,0.500344276,-0.055318713
274,0.0005,100,0.5,7,50,0.657542881,0.501128018,-0.058826389
166,0.001,50,0.5,7,50,0.659638594,0.503191978,-0.065648833
286,0.0005,100,0.7,7,50,0.659916925,0.504824683,-0.067717632
178,0.001,50,0.7,7,50,0.66392471,0.505813062,-0.078888554
215,0.001,100,0.7,7,100,0.664990345,0.506675333,-0.083360501
210,0.001,100,0.7,5,20,0.661732398,0.50755088,-0.071841664
225,0.0005,50,0.2,7,20,0.677245063,0.516326725,-0.123453057
239,0.0005,50,0.5,7,100,0.67850155,0.517790198,-0.127317618
238,0.0005,50,0.5,7,50,0.67917489,0.517919153,-0.129165769
197,0.001,100,0.5,3,100,0.675716024,0.521635368,-0.131918409
227,0.0005,50,0.2,7,100,0.68993733,0.525173575,-0.16666193
165,0.001,50,0.5,7,20,0.68810527,0.526596099,-0.161040484
163,0.001,50,0.5,5,50,0.688623178,0.52722384,-0.160903801
181,0.001,100,0.2,2,50,0.9090623,0.530658081,-1.357448519
285,0.0005,100,0.7,7,20,0.69659856,0.533157438,-0.187474647
208,0.001,100,0.7,3,50,0.703297372,0.538585752,-0.215902779
177,0.001,50,0.7,7,20,0.706704752,0.541948825,-0.222683289
282,0.0005,100,0.7,5,20,0.708092474,0.542998195,-0.229972888
148,0.001,50,0.2,3,50,0.713940614,0.545252502,-0.24789441
221,0.0005,50,0.2,3,100,0.720576006,0.548759937,-0.280768966
269,0.0005,100,0.5,3,100,0.72384879,0.551207572,-0.284086231
256,0.0005,100,0.2,3,50,0.727628294,0.552389055,-0.296243991
237,0.0005,50,0.5,7,20,0.720933853,0.553973138,-0.271911597
220,0.0005,50,0.2,3,50,0.740353073,0.573241323,-0.358608143
255,0.0005,100,0.2,3,20,0.743470619,0.573371261,-0.362045026
179,0.001,50,0.7,7,100,0.742250571,0.575554639,-0.362440457
151,0.001,50,0.2,5,50,0.746340178,0.580227703,-0.374330251
226,0.0005,50,0.2,7,50,0.75164378,0.582759976,-0.390428298
147,0.001,50,0.2,3,20,0.784234139,0.584166884,-0.50630379
257,0.0005,100,0.2,3,100,0.880660984,0.598388076,-0.907978122
264,0.0005,100,0.5,2,20,0.811523064,0.64403531,-0.622997174
152,0.001,50,0.2,5,100,0.810988359,0.647095352,-0.651085717
219,0.0005,50,0.2,3,20,0.860092225,0.689781219,-0.816359362
260,0.0005,100,0.2,5,100,0.884044775,0.71546644,-0.928225369
272,0.0005,100,0.5,5,100,0.888557093,0.718114674,-0.957759058
283,0.0005,100,0.7,5,50,0.896898116,0.726376563,-1.06687581
267,0.0005,100,0.5,3,20,0.940958198,0.772735178,-1.189925472
249,0.0005,50,0.7,7,20,0.971023061,0.794648647,-1.318160593
233,0.0005,50,0.5,3,100,0.967945732,0.802773148,-1.29817122
250,0.0005,50,0.7,7,50,1.036213521,0.86082688,-1.631198615
159,0.001,50,0.5,3,20,1.047387132,0.888199598,-1.691881449
222,0.0005,50,0.2,5,20,1.070891409,0.911609143,-1.812816149
164,0.001,50,0.5,5,100,1.080678285,0.912405878,-1.862507467
