idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
0.0,0.5,1.0,1.0,0.01521296501159668,0.0004004955291748047,20.64055903644405,426.0326773369321,0.22647052334504886
1.0,0.5,1.0,2.0,0.027223730087280275,0.0008009433746337891,20.190309406446442,407.64859392803965,0.259785440072982
2.0,0.5,1.0,3.0,0.03883461952209473,0.0008007049560546875,19.806325173529828,392.29051687960134,0.2876334029485753
3.0,0.5,1.0,4.0,0.05184674263000488,0.0006007194519042969,19.549065724325978,382.1659706940168,0.3060653924008189
4.0,0.5,1.0,5.0,0.05965380668640137,0.0008005142211914062,19.34662379453803,374.291852247385,0.3203762638898749
5.0,0.5,1.0,10.0,0.10507516860961914,0.0004005908966064453,19.30561432572038,372.70674449346,0.3232818490897511
6.0,0.5,10.0,1.0,0.13492217063903808,0.0006003379821777344,18.109589225711932,327.95722192402167,0.40432829275393267
7.0,0.5,10.0,2.0,0.26143803596496584,0.0006006717681884766,17.59343228717312,309.5288596433455,0.4378061146586779
8.0,0.5,10.0,3.0,0.3939565658569336,0.0010009765625,17.403674241491288,302.8878771039474,0.44996298655036815
9.0,0.5,10.0,4.0,0.5018102645874023,0.0010010242462158204,17.16533407017674,294.64869374077034,0.4647729928884843
10.0,0.5,10.0,5.0,0.6142693042755127,0.0010009288787841796,17.21657251465358,296.4103691523252,0.4616536943949857
11.0,0.5,10.0,10.0,1.090338897705078,0.0014012813568115234,18.39553018522263,338.3955307954369,0.38553103359682694
12.0,0.5,50.0,1.0,0.6807794094085693,0.0010009765625,17.57089159976127,308.7362316105612,0.43927821604633355
13.0,0.5,50.0,2.0,1.3191953659057618,0.001401233673095703,17.137083503426144,293.67963100340046,0.466533712941848
14.0,0.5,50.0,3.0,1.9532915115356446,0.0014010429382324218,17.194432649441683,295.6485141361862,0.46317461307979774
15.0,0.5,50.0,4.0,2.5473567962646486,0.0016015529632568359,17.249586048733335,297.5482188526557,0.4593667400973418
16.0,0.5,50.0,5.0,3.1529500484466553,0.0015996456146240234,17.67449230893042,312.3876783784407,0.43252382272309775
17.0,0.5,50.0,10.0,5.9000612735748295,0.0038033008575439455,18.545272536575176,343.9271334558494,0.37548001659242314
18.0,0.5,100.0,1.0,1.3483708381652832,0.0012008190155029298,17.341063980761763,300.71249998487303,0.45387502380049316
19.0,0.5,100.0,2.0,2.6457447052001952,0.0014009952545166015,17.074242629652428,291.5297613762403,0.47050383788110467
20.0,0.5,100.0,3.0,3.9060988426208496,0.0020113468170166017,17.350125051053862,301.0268392872068,0.45332702836254885
21.0,0.5,100.0,4.0,5.137660074234009,0.002588224411010742,17.510505839293955,306.61781474794776,0.44286733208574536
22.0,0.5,100.0,5.0,6.348896741867065,0.0030017852783203124,17.9593294089747,322.53751282006357,0.41402283994808486
23.0,0.5,100.0,10.0,11.98012046813965,0.00620574951171875,18.54860495843322,344.05074590401347,0.3752515870404511
24.0,0.5,200.0,1.0,2.7426911354064942,0.0018035411834716798,17.162971459514722,294.5675893201169,0.46508904076621604
25.0,0.5,200.0,2.0,5.346391344070435,0.0025949001312255858,17.083834607729212,291.8574049042464,0.4698192553614266
26.0,0.5,200.0,3.0,7.816123056411743,0.0032032489776611327,17.63070235072355,310.84166537980883,0.43547346419328914
27.0,0.5,200.0,4.0,10.316757488250733,0.003605937957763672,17.891477678378035,320.1049735158995,0.4183668723440138
