idx,n_estimators,max_features,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
0.0,100.0,1.0,0.1689530849456787,0.010810375213623047,0.5473594691980961,0.2996023885208215,0.24126415367311288
1.0,100.0,2.0,0.23241066932678223,0.010809850692749024,0.5410285574867348,0.2927119000161772,0.2584386606616965
2.0,100.0,3.0,0.3125904560089111,0.011611366271972656,0.5376690408484868,0.28908799748693176,0.267728377451703
3.0,100.0,4.0,0.350786018371582,0.010814762115478516,0.5348177585098777,0.28603003481752987,0.27541507393205106
4.0,100.0,5.0,0.42835144996643065,0.01079559326171875,0.5341314264299413,0.2852963807000838,0.27723178713739804
5.0,100.0,6.0,0.47081494331359863,0.011410140991210937,0.5329046802557384,0.2839873982384708,0.2805047901000961
6.0,100.0,7.0,0.5576746463775635,0.010809850692749024,0.5326061456409954,0.28366930637455723,0.28129669630593457
7.0,100.0,8.0,0.586132001876831,0.01241145133972168,0.5316067008170211,0.28260568435355776,0.2838848322415715
8.0,100.0,9.0,0.6381495475769043,0.010409402847290038,0.5347236231616178,0.2859293531670879,0.27550334864640147
9.0,100.0,10.0,0.7028383731842041,0.010809707641601562,0.5317020931243515,0.28270711583281655,0.2836394372184016
10.0,100.0,11.0,0.7717892169952393,0.01060953140258789,0.5333825225049645,0.284496915313759,0.27908368493620295
11.0,100.0,12.0,0.8370548725128174,0.012811517715454102,0.5324712892786654,0.28352567390608413,0.2815562890519841
12.0,100.0,13.0,0.8764870643615723,0.010814237594604491,0.5297067701135068,0.28058926230408354,0.2888612784928442
13.0,100.0,14.0,0.9383978843688965,0.011410236358642578,0.5302440907500525,0.28115879577534997,0.2876610718726994
14.0,100.0,15.0,1.008555793762207,0.01060786247253418,0.5316637110756723,0.28266630167475604,0.28377324643739943
15.0,100.0,16.0,1.05457763671875,0.010609626770019531,0.5327448214360486,0.2838170447669274,0.28074334724264427
16.0,100.0,17.0,1.1210183143615722,0.010009241104125977,0.5294892415036819,0.28035885686814443,0.28940088236374284
17.0,100.0,18.0,1.1854770183563232,0.010209274291992188,0.5304983660174178,0.28142851634715027,0.2866832403843933
18.0,100.0,19.0,1.2501356601715088,0.010409307479858399,0.5332331165323249,0.28433755656677595,0.2794190214387515
19.0,100.0,20.0,1.3037449359893798,0.012120914459228516,0.5328334910656973,0.2839115292012585,0.2804960070273637
20.0,100.0,21.0,1.314336633682251,0.010000133514404297,0.5302332484663014,0.2811472977791265,0.2876287545320268
21.0,100.0,22.0,1.395103120803833,0.01040945053100586,0.5298599887716146,0.2807516077010555,0.28846188612748147
22.0,100.0,23.0,1.4503178596496582,0.010609626770019531,0.5292096447434251,0.28006284808946225,0.2903594057167999
23.0,100.0,24.0,1.487764549255371,0.010609722137451172,0.5339530562827876,0.2851058663137297,0.2771946689708624
24.0,100.0,25.0,1.571358823776245,0.01080942153930664,0.5312154008030823,0.28218980205037936,0.2849822043166507
25.0,100.0,26.0,1.6148015975952148,0.01059584617614746,0.5315548876374742,0.2825505985712877,0.28399249666004617
26.0,100.0,27.0,1.6628167152404785,0.010594987869262695,0.5311839274030317,0.28215636473130923,0.2849148724190898
27.0,100.0,28.0,1.7204033374786376,0.010796260833740235,0.5284788135000363,0.2792898563184062,0.2920645467346804
28.0,200.0,1.0,0.35663576126098634,0.024029350280761717,0.546218488898205,0.2983546376142385,0.24454981625304034
29.0,200.0,2.0,0.4965037822723389,0.020389413833618163,0.540531270268994,0.2921740541386122,0.2601076572805778
30.0,200.0,3.0,0.595442533493042,0.020375442504882813,0.5355458034138708,0.28680930755420836,0.2734818393138692
31.0,200.0,4.0,0.7196345329284668,0.02057366371154785,0.5328547386758342,0.28393417252929154,0.2807497355560073
32.0,200.0,5.0,0.8378273963928222,0.02117629051208496,0.5312947341021838,0.28227409448471014,0.28492548592189193
33.0,200.0,6.0,0.9448065757751465,0.020373439788818358,0.5309931933201281,0.28195377135230687,0.28561037016571006
34.0,200.0,7.0,1.0680094718933106,0.020014429092407228,0.5319544143523491,0.28297549894895074,0.282918009850489
35.0,200.0,8.0,1.185434103012085,0.020218276977539064,0.5309540356140979,0.2819121879348968,0.2857388315624753
36.0,200.0,9.0,1.3022133350372314,0.020594310760498048,0.5298420430215252,0.2807325905532237,0.2886073368484923
37.0,200.0,10.0,1.3918052196502686,0.019980525970458983,0.5288955361232959,0.2797304881311486,0.29116656966245713
38.0,200.0,11.0,1.5144519329071044,0.020018243789672853,0.5303466121579355,0.2812675290273997,0.2873077652328992
39.0,200.0,12.0,1.6342604160308838,0.020018291473388673,0.5298391315196815,0.2807295052895304,0.2885409933539885
40.0,200.0,13.0,1.7551751613616944,0.022420549392700197,0.5294023374387835,0.2802668348856476,0.28972653113985736
41.0,200.0,14.0,1.8538862228393556,0.020287084579467773,0.5294772742799961,0.2803461839789742,0.2895189504842319
42.0,200.0,15.0,1.9903454303741455,0.020818614959716798,0.5284309822542107,0.2792393030061499,0.2923404463641096
43.0,200.0,16.0,2.0806904792785645,0.02001814842224121,0.5305803085626015,0.28151546383438547,0.2864821541001891
44.0,200.0,17.0,2.194853496551514,0.020018529891967774,0.5296685461524736,0.2805487687832751,0.2890460251320362
45.0,200.0,18.0,2.3936041355133058,0.01981973648071289,0.5290406774401665,0.2798840383863503,0.29065679829099167
46.0,200.0,19.0,2.5058104515075685,0.01961803436279297,0.531278375024332,0.28225671176849476,0.2845688329447591
47.0,200.0,20.0,2.586461877822876,0.02161998748779297,0.5287022166423834,0.27952603388256964,0.2914947177496752
