idx,C,gamma,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,max_features,n_estimators
0.0,,,0.0024020195007324217,0.0008010387420654297,0.8063450378993459,0.6501923201448976,-0.6478192869524708,1.0,1.0
1.0,,,0.0030025959014892576,0.001000833511352539,0.7947933357666577,0.631696446579091,-0.5993276576397614,2.0,1.0
2.0,,,0.004002523422241211,0.001001262664794922,0.7969252045044425,0.6350897815744474,-0.6079959089846534,3.0,1.0
3.0,,,0.005003499984741211,0.0008005142211914062,0.8007621002800417,0.6412199412449036,-0.6245049778923637,4.0,1.0
4.0,,,0.004604053497314453,0.0008009910583496094,0.7858496313625953,0.6175596431127269,-0.5647424295607205,5.0,1.0
5.0,,,0.005402994155883789,0.0008008956909179687,0.7899882716982608,0.6240814694208051,-0.5820560556037149,6.0,1.0
6.0,,,0.0068054676055908205,0.0008007526397705078,0.7744868310780082,0.5998298515132552,-0.5227481029920535,7.0,1.0
7.0,,,0.006604957580566406,0.0008007049560546875,0.7759620071179485,0.6021170364905152,-0.5254853372791274,8.0,1.0
8.0,,,0.006804132461547851,0.0010012149810791015,0.7794360137462627,0.6075204995246641,-0.5386181665238144,9.0,1.0
9.0,,,0.00760650634765625,0.0006007194519042969,0.7688686468891383,0.5911589961691344,-0.4970469664379585,10.0,1.0
10.0,,,0.008006572723388672,0.0006008148193359375,0.7731286807649637,0.5977279570213732,-0.5138467783033779,11.0,1.0
11.0,,,0.00900726318359375,0.001001119613647461,0.7627162247472867,0.5817360394927535,-0.4750016558817425,12.0,1.0
12.0,,,0.009608125686645508,0.0008005142211914062,0.7617143350416047,0.580208728207874,-0.4684060773031967,13.0,1.0
13.0,,,0.010008859634399413,0.00020022392272949218,0.7646062889976478,0.5846227771747545,-0.4812362716639861,14.0,1.0
14.0,,,0.011810302734375,0.0008011341094970703,0.7735155182597424,0.5983262569886378,-0.518603620579831,15.0,1.0
15.0,,,0.011409997940063477,0.0006008625030517578,0.773948762838877,0.5989966874998284,-0.5208910478382375,16.0,1.0
16.0,,,0.011409664154052734,0.0008009910583496094,0.7603353065515458,0.5781097783888332,-0.46402537194078786,17.0,1.0
17.0,,,0.01239323616027832,0.0006004810333251953,0.760357982327305,0.5781442612888503,-0.4635626774757549,18.0,1.0
