idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,eta,min_child_weight,subsample
,,,1.0,13.933193588256836,0.02200469970703125,0.3888748520728541,0.15122365057468415,0.5932139784533887,0.01,2.0,0.4
,,,1.0,12.213070011138916,0.027805233001708986,0.3822985020510628,0.14615214467048646,0.6066376688487285,0.02,2.0,0.4
,,,1.0,12.259672498703003,0.023802995681762695,0.3773172270494689,0.14236828982830046,0.6161357215298168,0.1,2.0,0.4
,,,1.0,17.580253648757935,0.03560519218444824,0.3889147972188424,0.15125471949577332,0.5931863463330969,0.01,2.0,0.6
,,,1.0,14.026201915740966,0.02040443420410156,0.38183534236773775,0.1457982286810875,0.6076339272925587,0.02,2.0,0.6
,,,1.0,20.480263566970827,0.026602697372436524,0.37584027681294535,0.1412559136748314,0.6192196612871309,0.1,2.0,0.6
,,,1.0,19.041560649871826,0.02440166473388672,0.38873661978040636,0.15111615955829621,0.5935580969574074,0.01,2.0,0.8
,,,1.0,21.603341579437256,0.03980584144592285,0.3815451683213409,0.14557671546936035,0.6082796891245589,0.02,2.0,0.8
,,,1.0,19.225198411941527,0.019402074813842773,0.3749981562251223,0.1406236171722412,0.6209915420385077,0.1,2.0,0.8
,,,3.0,30.625789213180543,0.028003931045532227,0.34637252094520143,0.119973923265934,0.6767525463247025,0.01,2.0,0.4
,,,3.0,28.939868450164795,0.030603694915771484,0.3366602795985687,0.11334014385938644,0.6945469393062679,0.02,2.0,0.4
,,,3.0,38.38594093322754,0.031604957580566403,0.33577547601818464,0.11274517029523849,0.6950173517528885,0.1,2.0,0.4
,,,3.0,42.125810098648074,0.03480362892150879,0.34770066052643706,0.12089574933052064,0.6741659545142321,0.01,2.0,0.6
,,,3.0,40.89713802337646,0.06240644454956055,0.3370951798722466,0.11363316029310226,0.6936500655994644,0.02,2.0,0.6
,,,3.0,49.72755618095398,0.030801820755004882,0.3371477350575282,0.11366859525442123,0.6937804223440953,0.1,2.0,0.6
,,,3.0,49.616945552825925,0.03520293235778808,0.348888991236967,0.12172352820634842,0.6721179532614567,0.01,2.0,0.8
,,,3.0,45.92988181114197,0.021402406692504882,0.33932389585871414,0.11514070630073547,0.6896412511811834,0.02,2.0,0.8
,,,3.0,34.92369184494019,0.026805019378662108,0.33574484024642026,0.11272459775209427,0.6956326839391984,0.1,2.0,0.8
,,,6.0,60.00402135848999,0.05860605239868164,0.33401688088513176,0.1115672767162323,0.6992479709027435,0.01,2.0,0.4
,,,6.0,68.05951929092407,0.06040558815002441,0.3298301510196318,0.10878792852163315,0.7063609504013119,0.02,2.0,0.4
,,,6.0,58.96581358909607,0.04300422668457031,0.3411365211710677,0.11637412607669831,0.6856918042318887,0.1,2.0,0.4
,,,6.0,86.93160939216614,0.04420146942138672,0.33356277893809533,0.11126412749290467,0.6999931890495331,0.01,2.0,0.6
,,,6.0,91.2362723827362,0.04780535697937012,0.32960945579670675,0.10864239335060119,0.7067517809522509,0.02,2.0,0.6
,,,6.0,86.77952876091004,0.05360369682312012,0.33606535895835776,0.11293992549180984,0.6946302424151487,0.1,2.0,0.6
,,,6.0,72.26242489814759,0.054604196548461915,0.3352637720920413,0.11240179687738419,0.6970324938848437,0.01,2.0,0.8
,,,6.0,113.97904567718506,0.052002239227294925,0.3301124870878367,0.10897425413131714,0.7059869709048384,0.02,2.0,0.8
,,,6.0,92.72705335617066,0.049201345443725585,0.33563550637847783,0.11265119314193725,0.6959217949942705,0.1,2.0,0.8
,,,8.0,71.74760594367982,0.06120409965515137,0.33166631053221735,0.11000254154205322,0.7034589815287663,0.01,2.0,0.4
,,,8.0,72.0922194480896,0.05560121536254883,0.3284109754041822,0.10785376876592637,0.708822844683767,0.02,2.0,0.4
,,,8.0,78.97282748222351,0.05440225601196289,0.3374057841367085,0.11384266316890716,0.6924450164374503,0.1,2.0,0.4
,,,8.0,106.79860711097717,0.06520366668701172,0.3315577305694315,0.10993052870035172,0.7035669643703719,0.01,2.0,0.6
,,,8.0,109.84818048477173,0.07400312423706054,0.3278371729261486,0.10747721195220947,0.7097791390932968,0.02,2.0,0.6
,,,8.0,117.41281566619872,0.06780304908752441,0.3378801046508732,0.11416296511888505,0.6918322956625536,0.1,2.0,0.6
,,,8.0,108.03332686424255,0.0666041374206543,0.3327681789526772,0.11073466092348098,0.7012308755240606,0.01,2.0,0.8
,,,8.0,115.11273965835571,0.08719992637634277,0.3292897826638078,0.1084317609667778,0.707027244617569,0.02,2.0,0.8
,,,8.0,140.43988451957702,0.07500238418579101,0.33218167656058256,0.11034466624259949,0.7018677186171829,0.1,2.0,0.8
,,,10.0,89.90179305076599,0.060201072692871095,0.3310398649875274,0.1095873922109604,0.7043638336794298,0.01,2.0,0.4
,,,10.0,89.54858736991882,0.06480226516723633,0.3282272815236578,0.10773314833641053,0.7093904921509233,0.02,2.0,0.4
,,,10.0,102.87356486320496,0.07980141639709473,0.33795452065038334,0.1142132580280304,0.691818721441584,0.1,2.0,0.4
,,,10.0,104.47478408813477,0.06960148811340332,0.32977542202008464,0.10875182896852494,0.7066581369657058,0.01,2.0,0.6
,,,10.0,127.13833408355713,0.1028059482574463,0.3270041372412232,0.10693170577287674,0.7111523035924792,0.02,2.0,0.6
,,,10.0,148.826978969574,0.10960226058959961,0.3364717781502463,0.11321325749158859,0.6939936029925089,0.1,2.0,0.6
,,,10.0,168.27810564041138,0.06960153579711914,0.33229463340766263,0.1104197233915329,0.7020313418853699,0.01,2.0,0.8
,,,10.0,147.8756838321686,0.07060236930847168,0.3293514853522021,0.10847240090370178,0.7070300409156565,0.02,2.0,0.8
,,,10.0,143.4351044654846,0.10680298805236817,0.3319290789313698,0.11017691344022751,0.7022199312804448,0.1,2.0,0.8
,,,1.0,12.07935609817505,0.016403055191040038,0.3889167608432371,0.1512562468647957,0.5931506771166191,0.01,5.0,0.4
,,,1.0,12.211560487747192,0.021001482009887697,0.38261089855281305,0.146391099691391,0.6061196976296428,0.02,5.0,0.4
,,,1.0,12.036158847808839,0.020799875259399414,0.3770768313435697,0.14218693673610688,0.6167285964752071,0.1,5.0,0.4
,,,1.0,13.855582475662231,0.024802112579345705,0.388917132493958,0.15125653594732286,0.5931744874017308,0.01,5.0,0.6
,,,1.0,13.772379732131958,0.016802978515625,0.3821765872835271,0.14605894386768342,0.6070213812057663,0.02,5.0,0.6
,,,1.0,14.02418236732483,0.020003032684326173,0.37574715489384614,0.14118592441082,0.6194964703601243,0.1,5.0,0.6
,,,1.0,14.52898850440979,0.01800236701965332,0.3888677189898535,0.15121810287237167,0.593266565826345,0.01,5.0,0.8
,,,1.0,14.402586126327515,0.0204010009765625,0.3820063101149957,0.14592882096767426,0.6073663782735833,0.02,5.0,0.8
,,,1.0,14.40798773765564,0.018999195098876952,0.3748524077362945,0.14051432758569718,0.6213613108967413,0.1,5.0,0.8
,,,3.0,28.247971534729004,0.022002267837524413,0.344875705432758,0.11893925219774246,0.6795407068378815,0.01,5.0,0.4
,,,3.0,30.221334362030028,0.023399543762207032,0.33488931140313655,0.11215085089206696,0.6976799569198986,0.02,5.0,0.4
,,,3.0,28.167961072921752,0.029601669311523436,0.3337733667387556,0.11140466034412384,0.698518429981821,0.1,5.0,0.4
,,,3.0,32.81878552436829,0.0278017520904541,0.34612507473857673,0.11980256736278534,0.6772118752784848,0.01,5.0,0.6
,,,3.0,32.82198615074158,0.025802993774414064,0.3345725964113614,0.1119388222694397,0.6983213549232736,0.02,5.0,0.6
,,,3.0,32.37318415641785,0.026000356674194335,0.330804114472749,0.10943136215209961,0.704468837122067,0.1,5.0,0.6
,,,3.0,35.829802942276004,0.02559976577758789,0.34725196991753754,0.12058393061161041,0.6751545300787736,0.01,5.0,0.8
,,,3.0,36.03940839767456,0.024799394607543945,0.33725694982325616,0.1137422502040863,0.6934742037489012,0.02,5.0,0.8
,,,3.0,35.39040541648865,0.032203292846679686,0.3336904961693879,0.11134934723377228,0.6994619239945592,0.1,5.0,0.8
,,,6.0,56.277705907821655,0.04300093650817871,0.33224566324573995,0.11038718074560165,0.7025135538672024,0.01,5.0,0.4
,,,6.0,51.8564371585846,0.04280109405517578,0.32561842739698654,0.1060273602604866,0.7139601201034911,0.02,5.0,0.4
,,,6.0,53.61737585067749,0.0482020378112793,0.3372507950184517,0.11373809874057769,0.692017949175524,0.1,5.0,0.4
,,,6.0,61.59839601516724,0.04160261154174805,0.3323703896337985,0.11047007590532303,0.7022648932048818,0.01,5.0,0.6
,,,6.0,64.03873219490052,0.042802047729492185,0.3256631115559424,0.10605646222829819,0.7137911016654026,0.02,5.0,0.6
,,,6.0,64.30130920410156,0.04220094680786133,0.3340606401604034,0.1115965113043785,0.6990310120703815,0.1,5.0,0.6
,,,6.0,68.69423694610596,0.051801538467407225,0.3321909912909188,0.11035085469484329,0.702543934707555,0.01,5.0,0.8
,,,6.0,69.02530398368836,0.05160155296325684,0.32672708051032096,0.10675058513879776,0.7120463218390269,0.02,5.0,0.8
,,,6.0,71.40934171676636,0.049000787734985354,0.33129677262367824,0.10975755155086517,0.7034403491001422,0.1,5.0,0.8
,,,8.0,66.52105073928833,0.06060061454772949,0.32966517286947394,0.10867912620306015,0.7069765422843446,0.01,5.0,0.4
,,,8.0,67.74714760780334,0.06200075149536133,0.3247720799505482,0.10547690391540528,0.7154936458919645,0.02,5.0,0.4
,,,8.0,71.99757542610169,0.054601621627807614,0.3373040725534529,0.11377403736114503,0.6926198713613677,0.1,5.0,0.4
,,,8.0,79.45934090614318,0.06480426788330078,0.32967174953424133,0.10868346244096756,0.7070217898962052,0.01,5.0,0.6
,,,8.0,82.68545379638672,0.060200071334838866,0.3252596221661644,0.10579382181167603,0.7146616450494359,0.02,5.0,0.6
,,,8.0,89.16347875595093,0.060000133514404294,0.3336362552588017,0.1113131508231163,0.6994621206280709,0.1,5.0,0.6
,,,8.0,89.17461562156677,0.05480217933654785,0.32995928142859554,0.1088731274008751,0.7064842114704262,0.01,5.0,0.8
,,,8.0,93.4593849658966,0.05220198631286621,0.3262154784153178,0.10641653835773468,0.7129919468170487,0.02,5.0,0.8
,,,8.0,102.25775537490844,0.06640009880065918,0.32856300275451034,0.10795364677906036,0.7083884206093132,0.1,5.0,0.8
,,,10.0,78.35988440513611,0.06020026206970215,0.3283654603432818,0.10782387554645538,0.7092161055428274,0.01,5.0,0.4
,,,10.0,84.17811222076416,0.06480183601379394,0.3237547069929086,0.10481711030006409,0.717181764826355,0.02,5.0,0.4
,,,10.0,93.96253786087036,0.06540045738220215,0.339946281926346,0.11556347459554672,0.6880437394541488,0.1,5.0,0.4
,,,10.0,96.70990233421325,0.062202739715576175,0.3295115557338883,0.10857786536216736,0.7072774877897543,0.01,5.0,0.6
,,,10.0,103.1821002483368,0.0688016414642334,0.32508004009890107,0.10567703247070312,0.7147118519282764,0.02,5.0,0.6
,,,10.0,116.90456986427307,0.07860236167907715,0.33497623820155387,0.11220908015966416,0.6969570690304527,0.1,5.0,0.6
,,,10.0,109.57922224998474,0.0783994197845459,0.3298838387852227,0.10882334709167481,0.7066158691106148,0.01,5.0,0.8
,,,10.0,118.14924731254578,0.08120169639587402,0.32730830826915164,0.10713072866201401,0.7108583017718683,0.02,5.0,0.8
,,,10.0,128.56418299674988,0.08770394325256348,0.33064862444508,0.10932851284742355,0.7046044869740286,0.1,5.0,0.8
,,,1.0,11.72485055923462,0.01840524673461914,0.38861812814187213,0.15102404952049256,0.5938004864209032,0.01,10.0,0.4
,,,1.0,11.940804481506348,0.021002578735351562,0.38216681035294614,0.1460514709353447,0.6070843032840593,0.02,10.0,0.4
,,,1.0,11.716026258468627,0.023401498794555664,0.37646895627794863,0.141728875041008,0.6179659327967967,0.1,10.0,0.4
,,,1.0,13.234113597869873,0.021204090118408202,0.3886152868434329,0.15102184116840361,0.5938099586747592,0.01,10.0,0.6
,,,1.0,13.17335548400879,0.016801929473876952,0.38208232062416,0.1459868997335434,0.6072461738692728,0.02,10.0,0.6
,,,1.0,13.120030403137207,0.02239985466003418,0.3757808978739336,0.1412112832069397,0.6194827379632256,0.1,10.0,0.6
,,,1.0,14.417649030685425,0.016003179550170898,0.3885154773674291,0.1509442761540413,0.5940229677303833,0.01,10.0,0.8
,,,1.0,13.898952102661132,0.019601106643676758,0.38196487786322225,0.14589716792106627,0.6075189193983553,0.02,10.0,0.8
,,,1.0,14.153031206130981,0.01920156478881836,0.37496985870662847,0.14060239493846893,0.6212217503054944,0.1,10.0,0.8
,,,3.0,27.16803374290466,0.03060121536254883,0.34509978150631915,0.11909385919570922,0.6789934129897001,0.01,10.0,0.4
,,,3.0,27.405639266967775,0.026802778244018555,0.3339883547540207,0.11154822111129761,0.6991976378408375,0.02,10.0,0.4
,,,3.0,27.072680950164795,0.028200817108154298,0.3323917922182058,0.11048430353403091,0.701844332393183,0.1,10.0,0.4
,,,3.0,31.999888515472414,0.02839946746826172,0.34548323367574996,0.11935866475105286,0.6784552170587912,0.01,10.0,0.6
,,,3.0,31.56681146621704,0.029401302337646484,0.3346784618414637,0.11200967282056809,0.6981156621227433,0.02,10.0,0.6
,,,3.0,31.96144804954529,0.025201845169067382,0.3306982929607579,0.10936136096715927,0.7049145120373075,0.1,10.0,0.6
,,,3.0,35.08169407844544,0.023000717163085938,0.346164260036675,0.11982969492673874,0.6771649129129987,0.01,10.0,0.8
,,,3.0,34.5513117313385,0.02700185775756836,0.3356092734710328,0.11263358443975449,0.6965647507361978,0.02,10.0,0.8
,,,3.0,34.779214000701906,0.02660198211669922,0.3314396850431906,0.10985226482152939,0.7034837502692086,0.1,10.0,0.8
,,,6.0,49.790914916992186,0.049001884460449216,0.33469555187067634,0.1120211124420166,0.6977882902341042,0.01,10.0,0.4
,,,6.0,50.70277156829834,0.03941621780395508,0.32603989175104175,0.10630201101303101,0.7129730412146674,0.02,10.0,0.4
,,,6.0,52.1951904296875,0.047000694274902347,0.3332988082867585,0.11108809560537339,0.6992004706473894,0.1,10.0,0.4
,,,6.0,60.74416708946228,0.0480008602142334,0.3327135234388932,0.11069828867912293,0.7015004662536761,0.01,10.0,0.6
,,,6.0,61.614227056503296,0.042400264739990236,0.3259196168267271,0.10622359663248063,0.7133138276652988,0.02,10.0,0.6
,,,6.0,63.88838090896606,0.04540176391601562,0.3349421304032825,0.11218623071908951,0.6967876689802448,0.1,10.0,0.6
,,,6.0,67.84042406082153,0.04840068817138672,0.3320841354438607,0.1102798730134964,0.7028541091366564,0.01,10.0,0.8
,,,6.0,67.65985803604126,0.05060067176818848,0.32609849435583854,0.10634022802114487,0.713373831722604,0.02,10.0,0.8
,,,6.0,69.34053225517273,0.042601490020751955,0.3326560906570648,0.11066007465124131,0.7015255157200031,0.1,10.0,0.8
,,,8.0,63.9321545124054,0.05600185394287109,0.3324529595191552,0.11052497029304505,0.7017093091649741,0.01,10.0,0.4
,,,8.0,66.71951179504394,0.052200603485107425,0.3242640888731191,0.10514719933271408,0.7160430996077383,0.02,10.0,0.4
,,,8.0,69.46241674423217,0.05260090827941895,0.3337130286423488,0.11136438548564911,0.6985279893465366,0.1,10.0,0.4
,,,8.0,79.96854691505432,0.05240287780761719,0.3303341408770847,0.10912064462900162,0.7057740803647337,0.01,10.0,0.6
,,,8.0,81.12876076698304,0.054001474380493165,0.32500048692373334,0.10562531650066376,0.7147390442642276,0.02,10.0,0.6
,,,8.0,84.46053767204285,0.05520153045654297,0.3325119353783786,0.11056418716907501,0.70099578913554,0.1,10.0,0.6
,,,8.0,87.50045561790466,0.05260062217712402,0.33034265064795987,0.10912626683712005,0.7058600001525568,0.01,10.0,0.8
,,,8.0,92.69830374717712,0.056000041961669925,0.3251747170648043,0.1057385966181755,0.7149945655316561,0.02,10.0,0.8
,,,8.0,93.66246562004089,0.05620088577270508,0.33017946301596085,0.10901847779750824,0.7058105954540512,0.1,10.0,0.8
,,,10.0,75.13687214851379,0.07660303115844727,0.33165496597465616,0.10999501645565032,0.7030924288230034,0.01,10.0,0.4
,,,10.0,79.49523220062255,0.06839952468872071,0.3246022702207344,0.10536663383245468,0.7153742453674413,0.02,10.0,0.4
,,,10.0,86.29532647132874,0.06840195655822753,0.3363843407873842,0.11315442472696305,0.6937388370392819,0.1,10.0,0.4
,,,10.0,93.40852165222168,0.06240124702453613,0.32957951056212176,0.10862265378236771,0.706995118477727,0.01,10.0,0.6
,,,10.0,98.47642736434936,0.0739020824432373,0.3247591868797776,0.10546852946281433,0.7151743562821217,0.02,10.0,0.6
,,,10.0,108.31400542259216,0.0660013198852539,0.3362012448824494,0.11303127706050872,0.6946561158312318,0.1,10.0,0.6
,,,10.0,105.15373001098632,0.07100114822387696,0.3296903036097782,0.10869569629430771,0.7070334055467798,0.01,10.0,0.8
,,,10.0,111.57505073547364,0.08820109367370606,0.324451659318905,0.10526887923479081,0.7161597601075009,0.02,10.0,0.8
,,,10.0,120.82334380149841,0.0666013240814209,0.33188902108698487,0.11015032231807709,0.702259613059705,0.1,10.0,0.8
