idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,max_feature
77,,2600,,1232.712227,28.99288096,0.326544735,0.106631464,0.712324854,0.5
78,,2700,,460.6406301,62.25434313,0.327365789,0.10716836,0.711066702,0.166666667
79,,2700,,862.3607751,36.86132598,0.325640056,0.106041446,0.713912342,0.333333333
80,,2700,,1277.900888,21.25026851,0.32648774,0.106594244,0.712450287,0.5
81,,2800,,477.8498539,67.29173698,0.327525069,0.107272671,0.710792045,0.166666667
82,,2800,,900.6908015,51.89243813,0.325116104,0.105700481,0.714896284,0.333333333
83,,2800,,1327.521944,26.20007124,0.326170857,0.106387428,0.712979204,0.5
84,,2900,,495.4041834,79.69394727,0.327508654,0.107261919,0.710799171,0.166666667
85,,2900,,929.2702221,62.33686819,0.325641648,0.106042483,0.713950977,0.333333333
86,,2900,,1379.611217,27.65517974,0.326103953,0.106343788,0.713036636,0.5
