idx,lr,n_estimators,max_depth,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score,eta,min_child_weight,subsample
,,,10,158.9480125,0.1242064,159.4897026,25436.96523,0.587479291,0.01,3,0.7
,,,6,87.68909736,0.061601973,159.4928192,25437.95938,0.587461352,0.01,4,0.8
,,,4,51.23498774,0.041600323,159.5102453,25443.51836,0.587441881,0.05,4,0.7
,,,6,88.18985958,0.050000715,159.5154883,25445.19102,0.587343572,0.01,3,0.8
,,,6,88.64014201,0.046199989,159.5397506,25452.93203,0.587223605,0.01,2,0.8
,,,4,50.78162642,0.036202049,159.5499775,25456.19531,0.587208941,0.05,3,0.7
,,,6,88.88169832,0.063201475,159.5511882,25456.58164,0.587158042,0.01,1,0.8
,,,6,89.21564035,0.05180254,159.5581913,25458.81641,0.587116547,0.01,5,0.8
,,,4,51.09042802,0.035601234,159.5736838,25463.76055,0.587100933,0.05,2,0.7
,,,10,212.8446691,0.126601982,159.6232992,25479.59766,0.586797903,0.01,2,0.7
,,,6,84.66611724,0.053402376,159.632898,25482.66211,0.586796204,0.05,4,0.8
,,,10,160.5632138,0.111802578,159.6284712,25481.24883,0.586761751,0.01,1,0.7
,,,6,77.71067615,0.048397923,159.6401153,25484.96641,0.586686802,0.05,2,0.6
,,,8,128.4638608,0.061602306,159.668437,25494.00977,0.586553368,0.01,5,0.9
,,,6,81.67361913,0.055201387,159.6740503,25495.80234,0.586532647,0.05,3,0.7
,,,10,165.1593876,0.102405643,159.6701984,25494.57227,0.586529181,0.01,5,0.8
,,,8,132.0038624,0.079002523,159.7365739,25515.77305,0.586214581,0.01,4,0.9
,,,6,86.72044902,0.046003199,159.7419599,25517.49375,0.586211256,0.05,4,0.9
,,,6,90.2125844,0.055401421,159.7496161,25519.93984,0.586146642,0.01,5,0.9
,,,6,82.46127281,0.039001846,159.7503753,25520.18242,0.586118518,0.05,5,0.7
,,,6,93.13652554,0.06060338,159.7603686,25523.37539,0.58607602,0.01,4,0.9
,,,10,215.090406,0.150401545,159.7681047,25525.84727,0.586017984,0.01,2,0.8
,,,10,171.5140461,0.111403179,159.7798681,25529.60625,0.585981616,0.01,4,0.8
,,,8,131.0108792,0.064800596,159.7919974,25533.48242,0.585906524,0.01,1,0.9
,,,6,91.52433662,0.047800303,159.8049397,25537.61875,0.585849661,0.01,3,0.9
,,,10,166.3188996,0.136400747,159.8046293,25537.51953,0.585812267,0.01,1,0.8
,,,6,93.16306319,0.054201698,159.8235379,25543.56328,0.585752685,0.01,1,0.9
,,,8,130.5749979,0.058999681,159.8259038,25544.31953,0.585735123,0.01,3,0.9
,,,10,167.9727168,0.115406895,159.8233363,25543.49883,0.585726696,0.01,3,0.8
,,,8,135.0975705,0.080802679,159.8285336,25545.16016,0.585707548,0.01,2,0.9
,,,6,78.97685552,0.043400574,159.8580706,25554.60273,0.585600998,0.05,4,0.6
,,,6,91.21074548,0.045200348,159.8586827,25554.79844,0.585566177,0.01,2,0.9
,,,4,54.8271956,0.035400629,159.899187,25567.75,0.585465575,0.1,3,0.9
,,,8,115.9233815,0.060600138,159.875711,25560.24297,0.585429438,0.05,3,0.7
,,,4,56.24218903,0.031602144,159.9509727,25584.31367,0.585141722,0.05,1,1
,,,4,54.77947793,0.03760128,159.9631659,25588.21445,0.585074364,0.1,2,0.9
,,,4,52.82563043,0.033603525,159.9655114,25588.96484,0.585064753,0.1,2,0.8
,,,4,56.46616564,0.030000591,159.9749993,25592.00039,0.585012008,0.05,2,1
,,,4,55.8001358,0.045201302,160.0064257,25602.05625,0.58481888,0.05,3,1
