WOODLAND_S,WOODLAND_T,HECTARES,SHAPE_LENG,SHAPE_AREA,IFT,IOA,SHAPE_AR_1,SHAPE_LEN
NFI Base Map,Woodland,2.01945927930,879.73449544300,20194.59279300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.56028854125,359.62746823800,5602.88541250000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,3.08577245500,865.70859006400,30857.72455000000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,3.27501712380,2019.90770667000,32750.17123800000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.33091565885,656.16919446900,13309.15658850000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.91387742085,603.93519489700,9138.77420851000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,4.36169990870,1573.55519510000,43616.99908700000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.75474973280,505.69012717900,7547.49732800000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,10.82581655220,2526.94613326000,108258.16552200000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.38764329980,624.15796260600,13876.43299800000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.47282781345,774.79748238300,14728.27813450000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.02341097880,507.05946867700,10234.10978800000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.32836572910,579.54447115300,13283.65729100000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.56799983510,503.07955612200,5679.99835100000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.05931140565,431.25378555800,10593.11405650000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.68997208140,450.74938205000,6899.72081400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.72169915670,419.23228997000,7216.99156701000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.88533808530,513.66013027400,8853.38085300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.04667487420,663.84649011900,10466.74874200000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.87313618715,593.89132550800,8731.36187151000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,3.41114692610,2197.18847173000,34111.46926100000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.50680632250,386.41421411200,5068.06322500000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.90840286460,1729.46815112000,29084.02864600000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.55623964215,544.54598781600,5562.39642150000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.36969084160,632.32908236500,23696.90841600000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.71501071075,391.29471549400,7150.10710750000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,8.12723893565,3424.43554370000,81272.38935650000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,3.30385516035,1742.61814636000,33038.55160350000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.00086166500,1505.66170088000,20008.61665000000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.91211462765,480.46104076300,9121.14627650000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.39038324480,1242.10353389000,23903.83244800000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.68327766485,359.65346893300,6832.77664850000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.99501337665,567.67213387000,9950.13376650000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.81381320600,596.48663182300,8138.13205999000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.11137972905,765.21541189900,11113.79729050000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Non Woodland,0.72660973125,606.59523975100,7266.09731250000,Interpreted Open Area,Forest Road or track,0.00000000000,0.00000000000
NFI Base Map,Woodland,8.18267410185,2789.85084016000,81826.74101850000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.82064088645,374.80765600900,8206.40886450000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.57012005675,421.07099381800,5701.20056750000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.12213989160,400.63399175100,11221.39891600000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.88891363925,887.25681668300,8889.13639250000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.64063217940,479.44349169600,16406.32179400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.95677116945,571.99760223100,9567.71169450000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.84217632175,428.12106764200,8421.76321750000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,7.71035649025,2355.88554453000,77103.56490250000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.70460775100,440.70506696200,7046.07751000000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.59832782755,484.68780440300,5983.27827550000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.61529990440,525.09365289900,6152.99904400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.65640761280,672.13329133800,6564.07612800000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,7.88839856730,3065.58058241000,78883.98567300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.64257297985,916.19296270000,16425.72979850000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.49575220835,653.36805643700,14957.52208350000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.34242651675,840.54646416800,13424.26516750000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.33850470010,1046.24628303000,23385.04700100000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.79869439525,732.82559428600,17986.94395250000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.25636160255,523.78703954200,12563.61602550000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Non Woodland,0.69889934850,454.42140806200,6988.99348500000,Interpreted Open Area,Urban/building,0.00000000000,0.00000000000
NFI Base Map,Non Woodland,0.51543845665,327.59403062100,5154.38456650000,Interpreted Open Area,Urban/building,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.78284405255,329.92409204500,7828.44052550000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.22084420140,590.63427212000,22208.44201400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,5.04309550525,2313.91991199000,50430.95505250000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.50233581040,679.41421962700,15023.35810400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.73191042050,325.85173064100,7319.10420500000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.96658514945,645.64385151000,9665.85149451000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.56262312640,557.46541213000,5626.23126400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.71229740255,458.82376723000,7122.97402550000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.55641755140,430.12861690100,5564.17551400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.58918015140,336.53372525000,5891.80151400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.76284711405,560.16467548800,7628.47114050000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.38777092630,868.82760373900,23877.70926300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,38.57089541760,7275.74185063000,385708.95417600003,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.81794672225,422.79073081300,8179.46722250000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.15157149885,668.85353236500,11515.71498850000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.91318507560,687.71468016900,9131.85075600000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.80222809755,1362.37511630000,28022.28097550000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.89390334130,1166.04676741000,18939.03341300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.14528054895,599.14251734500,11452.80548950000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.93867173815,514.01107363000,9386.71738150000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.18646663315,757.71635870100,11864.66633150000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.98119516400,416.89572000300,9811.95164000000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.62537270385,646.29243237100,16253.72703850000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.02051210205,538.66283789200,10205.12102050000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.53923285135,834.71730918000,15392.32851350000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.56227039095,410.88313305600,5622.70390950000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.64862788075,361.00154075900,6486.27880750000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.61762052615,443.03674714500,6176.20526149000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.50043957145,343.11831153700,5004.39571450000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,19.20842009670,2557.23321150000,192084.20096700001,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.30173708245,1063.92315682000,23017.37082450000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,4.27654322285,1259.89841220000,42765.43222850000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,3.00355905735,1928.76143703000,30035.59057350000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.00889571000,751.32557462300,10088.95710000000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.51263235045,411.56815732800,5126.32350450000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.58702970955,534.15008853200,5870.29709550000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.55534002540,514.97779960800,5553.40025400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.52128907830,416.60098865700,5212.89078300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.79613300245,410.45080878000,7961.33002450000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.28060264450,732.83204689700,12806.02644500000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.95332861450,625.85235805200,19533.28614500000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.89269084665,624.00139928000,8926.90846650000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.09096748035,790.48598713000,10909.67480350000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,5.52267186080,1926.78964945000,55226.71860800000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.39421815225,1001.22686855000,13942.18152250000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.54914620010,376.56558638500,5491.46200100000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.84656111530,555.81629744400,8465.61115300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.16926085305,792.36260462800,11692.60853050000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.74474768815,458.19624804700,7447.47688150000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.93230549930,658.78982215600,9323.05499300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.81730268955,515.92298188200,8173.02689550000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.65146783495,449.98155404600,6514.67834950000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.86647371715,572.89679698500,8664.73717150000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.67349514640,426.32480538700,6734.95146400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.32509541690,648.92509421100,13250.95416900000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.30044851530,631.98762977000,13004.48515300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.90945596725,408.03354853200,9094.55967250000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.59941230755,439.18736880500,5994.12307550000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.41789968630,908.46763160900,14178.99686300000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.56035666850,450.31854314700,5603.56668500000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.53400249440,482.99491218200,5340.02494400000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.53091029400,396.99219008600,5309.10294001000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,1.52153702295,1086.75588859000,15215.37022950000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,0.73161753375,646.90863353900,7316.17533750000,Broadleaved,,0.00000000000,0.00000000000
NFI Base Map,Woodland,2.99157379625,1150.67345610000,29915.73796250000,Broadleaved,,0.00000000000,0.00000000000
