WKT,fid,id,left,top,right,bottom,AGB
POINT (293261.8479 634290.5522),62,62,293261.8479,634290.5522,293561.8479,634590.5522,
POINT (293261.8479 633990.5522),63,63,293261.8479,633990.5522,293561.8479,634290.5522,
POINT (293261.8479 633690.5522),64,64,293261.8479,633690.5522,293561.8479,633990.5522,
POINT (293261.8479 633390.5522),65,65,293261.8479,633390.5522,293561.8479,633690.5522,
POINT (293261.8479 633090.5522),66,66,293261.8479,633090.5522,293561.8479,633390.5522,
POINT (293261.8479 632790.5522),67,67,293261.8479,632790.5522,293561.8479,633090.5522,
POINT (293261.8479 632490.5522),68,68,293261.8479,632490.5522,293561.8479,632790.5522,
POINT (293261.8479 632190.5522),69,69,293261.8479,632190.5522,293561.8479,632490.5522,
POINT (293261.8479 631890.5522),70,70,293261.8479,631890.5522,293561.8479,632190.5522,
POINT (293261.8479 631590.5522),71,71,293261.8479,631590.5522,293561.8479,631890.5522,
POINT (293261.8479 631290.5522),72,72,293261.8479,631290.5522,293561.8479,631590.5522,
POINT (293261.8479 630990.5522),73,73,293261.8479,630990.5522,293561.8479,631290.5522,
POINT (293261.8479 630690.5522),74,74,293261.8479,630690.5522,293561.8479,630990.5522,
POINT (293261.8479 630390.5522),75,75,293261.8479,630390.5522,293561.8479,630690.5522,
POINT (293261.8479 630090.5522),76,76,293261.8479,630090.5522,293561.8479,630390.5522,
POINT (293261.8479 629790.5522),77,77,293261.8479,629790.5522,293561.8479,630090.5522,
POINT (293261.8479 629490.5522),78,78,293261.8479,629490.5522,293561.8479,629790.5522,
POINT (293261.8479 629190.5522),79,79,293261.8479,629190.5522,293561.8479,629490.5522,
POINT (293261.8479 628890.5522),80,80,293261.8479,628890.5522,293561.8479,629190.5522,
POINT (293261.8479 628590.5522),81,81,293261.8479,628590.5522,293561.8479,628890.5522,
POINT (293261.8479 628290.5522),82,82,293261.8479,628290.5522,293561.8479,628590.5522,
POINT (293261.8479 627990.5522),83,83,293261.8479,627990.5522,293561.8479,628290.5522,
POINT (293261.8479 627690.5522),84,84,293261.8479,627690.5522,293561.8479,627990.5522,
POINT (293261.8479 627390.5522),85,85,293261.8479,627390.5522,293561.8479,627690.5522,
POINT (293261.8479 627090.5522),86,86,293261.8479,627090.5522,293561.8479,627390.5522,
POINT (293261.8479 626790.5522),87,87,293261.8479,626790.5522,293561.8479,627090.5522,
POINT (293261.8479 626490.5522),88,88,293261.8479,626490.5522,293561.8479,626790.5522,
POINT (293261.8479 626190.5522),89,89,293261.8479,626190.5522,293561.8479,626490.5522,
POINT (293261.8479 625890.5522),90,90,293261.8479,625890.5522,293561.8479,626190.5522,
POINT (293261.8479 625590.5522),91,91,293261.8479,625590.5522,293561.8479,625890.5522,
POINT (293261.8479 625290.5522),92,92,293261.8479,625290.5522,293561.8479,625590.5522,
POINT (293261.8479 624990.5522),93,93,293261.8479,624990.5522,293561.8479,625290.5522,
POINT (293261.8479 624690.5522),94,94,293261.8479,624690.5522,293561.8479,624990.5522,
POINT (293261.8479 624390.5522),95,95,293261.8479,624390.5522,293561.8479,624690.5522,
POINT (293261.8479 624090.5522),96,96,293261.8479,624090.5522,293561.8479,624390.5522,
POINT (293261.8479 623790.5522),97,97,293261.8479,623790.5522,293561.8479,624090.5522,
POINT (293261.8479 623490.5522),98,98,293261.8479,623490.5522,293561.8479,623790.5522,
POINT (293261.8479 623190.5522),99,99,293261.8479,623190.5522,293561.8479,623490.5522,
POINT (293261.8479 622890.5522),100,100,293261.8479,622890.5522,293561.8479,623190.5522,
POINT (293261.8479 622590.5522),101,101,293261.8479,622590.5522,293561.8479,622890.5522,
POINT (293261.8479 622290.5522),102,102,293261.8479,622290.5522,293561.8479,622590.5522,
POINT (293261.8479 621990.5522),103,103,293261.8479,621990.5522,293561.8479,622290.5522,
POINT (293261.8479 621690.5522),104,104,293261.8479,621690.5522,293561.8479,621990.5522,
POINT (293261.8479 621390.5522),105,105,293261.8479,621390.5522,293561.8479,621690.5522,
POINT (293261.8479 621090.5522),106,106,293261.8479,621090.5522,293561.8479,621390.5522,
POINT (293261.8479 620790.5522),107,107,293261.8479,620790.5522,293561.8479,621090.5522,
POINT (293261.8479 620490.5522),108,108,293261.8479,620490.5522,293561.8479,620790.5522,
POINT (293261.8479 620190.5522),109,109,293261.8479,620190.5522,293561.8479,620490.5522,
POINT (293261.8479 619890.5522),110,110,293261.8479,619890.5522,293561.8479,620190.5522,
POINT (293261.8479 619590.5522),111,111,293261.8479,619590.5522,293561.8479,619890.5522,
POINT (293261.8479 619290.5522),112,112,293261.8479,619290.5522,293561.8479,619590.5522,
POINT (293261.8479 618990.5522),113,113,293261.8479,618990.5522,293561.8479,619290.5522,
POINT (293261.8479 618690.5522),114,114,293261.8479,618690.5522,293561.8479,618990.5522,
POINT (293261.8479 618390.5522),115,115,293261.8479,618390.5522,293561.8479,618690.5522,
POINT (293261.8479 618090.5522),116,116,293261.8479,618090.5522,293561.8479,618390.5522,
POINT (293261.8479 617790.5522),117,117,293261.8479,617790.5522,293561.8479,618090.5522,
POINT (293261.8479 617490.5522),118,118,293261.8479,617490.5522,293561.8479,617790.5522,
POINT (293261.8479 617190.5522),119,119,293261.8479,617190.5522,293561.8479,617490.5522,
POINT (293261.8479 616890.5522),120,120,293261.8479,616890.5522,293561.8479,617190.5522,
POINT (293261.8479 616590.5522),121,121,293261.8479,616590.5522,293561.8479,616890.5522,
POINT (293261.8479 616290.5522),122,122,293261.8479,616290.5522,293561.8479,616590.5522,
POINT (293261.8479 615990.5522),123,123,293261.8479,615990.5522,293561.8479,616290.5522,
POINT (293261.8479 615690.5522),124,124,293261.8479,615690.5522,293561.8479,615990.5522,
POINT (293261.8479 615390.5522),125,125,293261.8479,615390.5522,293561.8479,615690.5522,
POINT (293261.8479 615090.5522),126,126,293261.8479,615090.5522,293561.8479,615390.5522,
POINT (293261.8479 614790.5522),127,127,293261.8479,614790.5522,293561.8479,615090.5522,
POINT (293261.8479 614490.5522),128,128,293261.8479,614490.5522,293561.8479,614790.5522,
POINT (293261.8479 614190.5522),129,129,293261.8479,614190.5522,293561.8479,614490.5522,
POINT (293261.8479 613890.5522),130,130,293261.8479,613890.5522,293561.8479,614190.5522,
POINT (293261.8479 613590.5522),131,131,293261.8479,613590.5522,293561.8479,613890.5522,
POINT (293561.8479 652590.5522),132,132,293561.8479,652590.5522,293861.8479,652890.5522,
POINT (293561.8479 652290.5522),133,133,293561.8479,652290.5522,293861.8479,652590.5522,376
POINT (293561.8479 651990.5522),134,134,293561.8479,651990.5522,293861.8479,652290.5522,674
POINT (293561.8479 651690.5522),135,135,293561.8479,651690.5522,293861.8479,651990.5522,389
POINT (293561.8479 651390.5522),136,136,293561.8479,651390.5522,293861.8479,651690.5522,18
POINT (293561.8479 651090.5522),137,137,293561.8479,651090.5522,293861.8479,651390.5522,35
POINT (293561.8479 650790.5522),138,138,293561.8479,650790.5522,293861.8479,651090.5522,105
POINT (293561.8479 650490.5522),139,139,293561.8479,650490.5522,293861.8479,650790.5522,88
POINT (293561.8479 650190.5522),140,140,293561.8479,650190.5522,293861.8479,650490.5522,105
POINT (293561.8479 649890.5522),141,141,293561.8479,649890.5522,293861.8479,650190.5522,93
POINT (293561.8479 649590.5522),142,142,293561.8479,649590.5522,293861.8479,649890.5522,76
POINT (293561.8479 649290.5522),143,143,293561.8479,649290.5522,293861.8479,649590.5522,246
POINT (293561.8479 648990.5522),144,144,293561.8479,648990.5522,293861.8479,649290.5522,409
POINT (293561.8479 648690.5522),145,145,293561.8479,648690.5522,293861.8479,648990.5522,137
POINT (293561.8479 648390.5522),146,146,293561.8479,648390.5522,293861.8479,648690.5522,93
POINT (293561.8479 648090.5522),147,147,293561.8479,648090.5522,293861.8479,648390.5522,145
