fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len
"596","21065","45412",Woodland,Assumed woodland,Scotland,2356.7873986,16.5533691097,165533.691131592,2356.7873985975
"597","21067","45414",Woodland,Assumed woodland,Scotland,1694.60998336,15.8703190039,158703.189971924,1694.60998336223
"598","21070","45417",Woodland,Assumed woodland,Scotland,660.7946637,2.34001735635,23400.1736297607,660.794663699642
"599","21073","45420",Woodland,Assumed woodland,Scotland,652.422683312,0.89527817535,8952.78187561035,652.422683310423
"600","21076","45423",Woodland,Assumed woodland,Scotland,685.099343183,2.4783636283,24783.6363372803,685.099343181943
"601","21078","45425",Woodland,Assumed woodland,Scotland,368.106546472,0.57929138505,5792.91386413574,368.106546471958
"602","21079","45426",Woodland,Assumed woodland,Scotland,1538.51483547,2.94804276925,29480.4276733398,1538.51483546858
"603","21080","45427",Woodland,Assumed woodland,Scotland,1246.6387828,6.55408316825,65540.8316345215,1246.6387827967
"604","21082","45429",Woodland,Assumed woodland,Scotland,347.746972797,0.354764589551,3547.64579772949,347.746972796168
"605","21084","45431",Woodland,Assumed woodland,Scotland,551.968793344,0.72104927835,7210.49279785156,551.968793341465
"606","21087","45434",Woodland,Assumed woodland,Scotland,1160.89400458,4.7042804692,47042.8046112061,1160.89400457939
"607","21093","45440",Woodland,Assumed woodland,Scotland,753.315019702,1.81028133205,18102.813293457,753.315019704656
"608","21094","45441",Woodland,Assumed woodland,Scotland,652.497449,1.50273099665,15027.3099822998,652.497448999398
"609","21095","45442",Woodland,Assumed woodland,Scotland,1484.51229415,7.6476190659,76476.1906433105,1484.51229414526
"610","21098","45445",Woodland,Assumed woodland,Scotland,670.482852107,1.70578693515,17057.8693847656,670.482852103782
"611","21099","45446",Woodland,Assumed woodland,Scotland,652.419350061,1.67648947405,16764.8947753906,652.419350063839
"612","21102","45449",Woodland,Assumed woodland,Scotland,362.551614436,0.9095552819,9095.55282592773,362.551614434973
"613","21104","45451",Woodland,Assumed woodland,Scotland,468.927111098,1.31194688145,13119.4688110352,468.927111099425
"614","21105","45452",Woodland,Assumed woodland,Scotland,175.075058221,0.1552955659,1552.95565795898,175.075058220416
"615","21107","45454",Woodland,Assumed woodland,Scotland,922.976868883,1.565453421,15654.5341491699,922.976868883238
"616","21110","45457",Woodland,Assumed woodland,Scotland,566.040780841,0.7342823979,7342.82405090332,566.04078084
"617","21111","45458",Woodland,Assumed woodland,Scotland,1495.22396832,2.0092703005,20092.7028961182,1495.22396831707
"618","21112","45459",Woodland,Assumed woodland,Scotland,470.455561193,0.87039610985,8703.96105957031,470.455561185518
"619","21113","45460",Woodland,Assumed woodland,Scotland,722.623493288,2.67240494385,26724.0494384766,722.623493285734
"620","21116","45463",Woodland,Assumed woodland,Scotland,915.772254387,1.5302176044,15302.1760864258,915.772254383957
"621","21119","45466",Woodland,Assumed woodland,Scotland,315.362662551,0.4621328393,4621.32841491699,315.362662550899
"622","21121","45468",Woodland,Assumed woodland,Scotland,611.626302739,0.95525074255,9552.50747680664,611.626302738311
"623","21122","45469",Woodland,Assumed woodland,Scotland,462.166329974,0.3695481602,3695.48164367676,462.166329972611
"624","21123","45470",Woodland,Assumed woodland,Scotland,4640.3436344,24.3745821374,243745.821411133,4640.34363440155
"625","21130","45477",Woodland,Assumed woodland,Scotland,34267.5646379,131.93332523,1319333.25231934,34267.564637915
"626","21136","45483",Woodland,Assumed woodland,Scotland,4900.474238,11.7269470251,117269.470123291,4900.4742379971
"627","21137","45484",Woodland,Assumed woodland,Scotland,1250.4439048,3.58520457065,35852.0456848145,1250.44390480343
"628","21140","45487",Woodland,Assumed woodland,Scotland,528.063410636,1.1688139759,11688.1397399902,528.063410633212
"629","21141","45488",Woodland,Assumed woodland,Scotland,719.566478853,2.19592711725,21959.2711791992,719.566478853328
"630","21148","45495",Woodland,Assumed woodland,Scotland,667.676481461,0.836475349401,8364.75343322754,667.676481462243
"631","21149","45496",Woodland,Assumed woodland,Scotland,2188.20022271,9.3994488036,93994.4880065918,2188.20022271522
"632","21152","45499",Woodland,Assumed woodland,Scotland,241.531163232,0.19132845295,1913.28454589844,241.531163231458
"633","21155","45502",Woodland,Assumed woodland,Scotland,474.636538644,0.5227148092,5227.14808654785,474.636538644211
"634","21157","45504",Woodland,Assumed woodland,Scotland,457.170133829,0.6947608952,6947.60894775391,457.170133830954
"635","21159","45506",Woodland,Assumed woodland,Scotland,297.834859508,0.5037870143,5037.87014770508,297.834859510124
"636","21161","45508",Woodland,Assumed woodland,Scotland,272.653281325,0.3533980497,3533.98051452637,272.653281324944
"637","21164","45511",Woodland,Assumed woodland,Scotland,540.724188905,0.72651031145,7265.10308837891,540.724188907115
"638","21166","45513",Woodland,Assumed woodland,Scotland,1150.20962134,4.3631596834,43631.5968933105,1150.20962133818
"639","21169","45516",Woodland,Assumed woodland,Scotland,410.161254197,0.5915879784,5915.87977600098,410.161254198499
"640","21170","45517",Woodland,Assumed woodland,Scotland,319.85774387,0.4310610612,4310.61059570313,319.857743869456
"641","21174","45521",Woodland,Assumed woodland,Scotland,947.660862283,1.87206513525,18720.6513519287,947.660862281889
"642","21175","45522",Woodland,Assumed woodland,Scotland,936.646858367,2.16923288065,21692.328918457,936.646858367427
"643","21176","45523",Woodland,Assumed woodland,Scotland,465.710106174,0.70126987265,7012.69877624512,465.71010617446
"644","21178","45525",Woodland,Assumed woodland,Scotland,1701.21972499,6.36512682555,63651.2682647705,1701.21972498701
"645","21181","45528",Woodland,Assumed woodland,Scotland,4338.562643,41.3097175223,413097.175186157,4338.56264299683
"646","21185","45532",Woodland,Assumed woodland,Scotland,404.174691544,0.61866917085,6186.69166564941,404.174691543926
"647","21194","45541",Woodland,Assumed woodland,Scotland,1643.28970454,3.93165022685,39316.5021820068,1643.28970454118
"648","21196","45543",Woodland,Assumed woodland,Scotland,573.994549638,0.923622226151,9236.2222442627,573.994549634973
"649","21197","45544",Woodland,Assumed woodland,Scotland,4417.33487492,21.9230416384,219230.416412354,4417.33487492464
"650","21198","45545",Woodland,Assumed woodland,Scotland,467.185912403,0.5469037527,5469.03756713867,467.185912400432
"651","21207","45554",Woodland,Assumed woodland,Scotland,366.29404455,0.53302208305,5330.22082519531,366.29404455005
"652","21208","45555",Woodland,Assumed woodland,Scotland,385.464663374,0.56920842935,5692.08430480957,385.464663373208
"653","21218","45565",Woodland,Assumed woodland,Scotland,255.803192574,0.27168181015,2716.81813049316,255.80319257092
