fid,id,left,top,right,bottom,OC,BAND_11,BAND_12,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,DEM_ELEV,DEM_CS,DEM_LSF,DEM_SLOPE,DEM_TWI
"131","131",12.95,45.96,12.97,45.98,30.9285984039307,0.26031905412674,0.126677602529526,0.0921911671757698,0.0856738016009331,0.0466961376368999,0.113493390381336,0.39601543545723,0.526379227638245,0.551920294761658,0.562305510044098,42.7250366210938,1.57023191452026,37.703311920166,89.9815292358398,0
"132","132",12.95,45.94,12.97,45.96,29.6483631134033,0.154664114117622,0.0592458620667458,0.089503638446331,0.0772941187024117,0.0463020578026772,0.0683313831686974,0.275806486606598,0.440515398979187,0.431884527206421,0.472714871168137,34.1652984619141,1.57005321979523,38.0237197875977,89.9751968383789,0
"133","133",12.95,45.92,12.97,45.94,28.0644855499268,0.180981382727623,0.086294487118721,0.0912732779979706,0.0819777548313141,0.0513137206435204,0.0879144370555878,0.276127219200134,0.401834219694138,0.385970711708069,0.435912728309631,27.3090858459473,1.57007706165314,38.208438873291,89.9666900634766,0
"134","134",12.95,45.9,12.97,45.92,27.6229724884033,0.508900344371796,0.42639547586441,0.205884516239166,0.238895401358604,0.289597123861313,0.305126458406448,0.363278299570084,0.403778403997421,0.390605390071869,0.434442669153214,18.6526012420654,1.55908572673798,38.2914924621582,89.966796875,0
"202","202",12.97,46.02,12.99,46.04,28.1357727050781,0.307991176843643,0.231364831328392,0.116407386958599,0.122077099978924,0.142523050308228,0.171556979417801,0.249583199620247,0.28464013338089,0.264815628528595,0.304514557123184,70.8050918579102,1.56994926929474,38.2904739379883,89.962890625,0
"203","203",12.97,46,12.99,46.02,26.6599903106689,0.206306636333466,0.0884113386273384,0.0884335786104202,0.0770663395524025,0.0437678322196007,0.0965630486607552,0.342362135648727,0.45165154337883,0.413127452135086,0.492609024047852,59.7847099304199,1.57037401199341,38.0914001464844,89.9734802246094,0
"204","204",12.97,45.98,12.99,46,26.8490390777588,0.152373448014259,0.0651856809854507,0.0944051221013069,0.0853915587067604,0.054986584931612,0.0759166404604912,0.25713923573494,0.38464680314064,0.380297213792801,0.416781544685364,46.9808807373047,1.56970977783203,44.1308746337891,89.5349426269531,-20.8492813110352
"205","205",12.97,45.96,12.99,45.98,26.4775009155273,0.220423012971878,0.108266815543175,0.0932570546865463,0.0805071964859962,0.0547684468328953,0.108255572617054,0.309701353311539,0.422555923461914,0.365564733743668,0.456155508756638,38.3475799560547,1.56969976425171,37.9325103759766,89.9721603393555,0
"206","206",12.97,45.94,12.99,45.96,25.4150333404541,0.156116724014282,0.0645822137594223,0.091283991932869,0.0775824710726738,0.0500910989940166,0.0722941011190414,0.264400988817215,0.398700505495071,0.382408380508423,0.43767237663269,32.6962280273438,1.56878364086151,41.7397994995117,89.7903366088867,-23.6863822937012
"207","207",12.97,45.92,12.99,45.94,26.3983707427979,0.173290356993675,0.081379696726799,0.090911015868187,0.0789569467306137,0.0474878773093224,0.0934116840362549,0.271038949489594,0.347958326339722,0.317431658506393,0.382739394903183,27.1430130004883,1.56934809684753,38.3898582458496,89.9641265869141,0
"208","208",12.97,45.9,12.99,45.92,28.4048728942871,0.149319663643837,0.0654914677143097,0.0895031616091728,0.0755044594407082,0.0461109317839146,0.0749008879065514,0.266259044408798,0.432441174983978,0.423621028661728,0.468356251716614,18.4291915893555,1.56948804855347,38.4310264587402,89.9596176147461,0
"273","273",12.99,46.08,13.01,46.1,17.870943069458,0.262802422046661,0.124428503215313,0.0920895412564278,0.0850196331739426,0.047581534832716,0.101558417081833,0.424191653728485,0.597155511379242,0.587750315666199,0.639840304851532,118.515251159668,1.56933271884918,39.7659111022949,89.9729919433594,0
"274","274",12.99,46.06,13.01,46.08,19.8439292907715,0.262020915746689,0.129898309707642,0.0897627994418144,0.0825370326638222,0.0478088557720184,0.107148692011833,0.395023882389069,0.545968294143677,0.572686433792114,0.582500100135803,103.470558166504,1.56970822811127,39.1859359741211,89.9467391967773,0
"275","275",12.99,46.04,13.01,46.06,21.7899913787842,0.261957854032516,0.112195059657097,0.0897926539182663,0.0821286141872406,0.0440716966986656,0.0928820744156837,0.435164511203766,0.611780107021332,0.583998739719391,0.654703080654144,89.6123733520508,1.56979691982269,38.0685234069824,89.9717025756836,0
"276","276",12.99,46.02,13.01,46.04,23.5160274505615,0.149425730109215,0.0635778084397316,0.0886515006422997,0.074916809797287,0.0497529543936253,0.0702148675918579,0.239868432283401,0.374749839305878,0.34408238530159,0.406949013471603,74.8841247558594,1.57041788101196,37.6477088928223,89.9858703613281,0
"277","277",12.99,46,13.01,46.02,23.5751609802246,0.151579216122627,0.0658880397677422,0.0889234691858292,0.0718483924865723,0.0468321852385998,0.0742592141032219,0.241699203848839,0.371095299720764,0.360064029693604,0.406121164560318,60.2483062744141,1.56943142414093,38.0167579650879,89.9736251831055,0
"278","278",12.99,45.98,13.01,46,23.9026145935059,0.209149613976479,0.0972348377108574,0.117735080420971,0.123223647475243,0.0853848829865456,0.140559762716293,0.331772238016129,0.405206203460693,0.389960169792175,0.43794110417366,48.6078834533691,1.57025802135468,37.7720832824707,89.9818649291992,0
"279","279",12.99,45.96,13.01,45.98,24.1488380432129,0.256934583187103,0.18310321867466,0.131929948925972,0.123548313975334,0.10991258919239,0.143383115530014,0.238906025886536,0.279650568962097,0.243198454380035,0.306945085525513,38.9540100097656,1.57007908821106,38.3847999572754,89.961784362793,0
"280","280",12.99,45.94,13.01,45.96,25.8785991668701,0.188487619161606,0.0795658081769943,0.0907940343022346,0.0836719572544098,0.0492691248655319,0.0963405892252922,0.310572028160095,0.392754822969437,0.378667950630188,0.434280037879944,31.9264583587646,1.56996929645538,37.8536262512207,89.9755096435547,0
"281","281",12.99,45.92,13.01,45.94,27.8047542572021,0.186642706394196,0.0887542888522148,0.105677962303162,0.116177886724472,0.0657904893159866,0.107861384749413,0.265294879674911,0.348510563373566,0.459041625261307,0.388082772493362,27.4408988952637,1.57048857212067,37.7404708862305,89.979248046875,0
"282","282",12.99,45.9,13.01,45.92,28.0747184753418,0.302543938159943,0.195632010698318,0.129896625876427,0.136493816971779,0.130977734923363,0.164677947759628,0.318212658166885,0.381876230239868,0.368553042411804,0.409717231988907,19.1514720916748,1.56883764266968,39.4237899780273,89.9480819702148,0
"344","344",13.01,46.14,13.03,46.16,28.6249179840088,0.175901830196381,0.0906129032373428,0.0949489176273346,0.0854289904236794,0.0604225173592567,0.0887349471449852,0.254695296287537,0.376833498477936,0.37912455201149,0.411738127470016,177.378601074219,1.57013559341431,37.8359413146973,89.9728851318359,0
"345","345",13.01,46.12,13.03,46.14,17.4390316009521,0.148367822170258,0.0577515885233879,0.0902086943387985,0.0774351060390472,0.0486579686403275,0.0694713518023491,0.274436682462692,0.446484297513962,0.421528160572052,0.479598194360733,127.001197814941,1.56304097175598,40.037296295166,89.9244232177734,0
"346","346",13.01,46.1,13.03,46.12,16.6498851776123,0.243455320596695,0.14830008149147,0.114907488226891,0.11128568649292,0.0981143116950989,0.127893045544624,0.29077410697937,0.34581395983696,0.284028828144073,0.366949707269669,132.06169128418,1.57047736644745,37.3517684936523,89.9869995117188,0
