fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len,x_coord,y_coord,satellite1,satellite2
"34","564","1445",Non woodland,Bare area,Scotland,1736.64940065,3.5811564627,35811.5646514893,1736.64940065601,280416.47582,674945.302417,0.0690541788935661,-0.0554944202303886
"35","569","1450",Non woodland,Bare area,Scotland,369.432937415,0.6701681917,6701.68190002441,369.43293741574,271457.806822,675390.307413,0.509301781654358,0.22667084634304
"36","571","1452",Non woodland,Bare area,Scotland,377.834604887,0.75809034505,7580.90342712402,377.834604888795,287131.657064,675451.45121,-0.073889285326004,-0.0671175718307495
"37","572","1453",Non woodland,Bare area,Scotland,291.253997514,0.51072801125,5107.28009033203,291.253997513373,270818.014493,675520.19126,0.20785753428936,0.0505440756678581
"38","575","1456",Non woodland,Bare area,Scotland,494.55297964,1.15678103055,11567.8101501465,494.552979643172,278992.170192,675671.658984,0.139744773507118,-0.0317676179111004
"39","581","1462",Non woodland,Bare area,Scotland,531.043242079,1.5498167578,15498.1676025391,531.043242077157,282333.938279,676255.331325,-0.0905802324414253,-0.0748256221413612
"40","583","1464",Non woodland,Bare area,Scotland,704.620220796,1.0670062188,10670.0621795654,704.620220798968,272473.282387,676367.023881,0.277651578187943,0.0560231991112232
"41","589","1470",Non woodland,Bare area,Scotland,767.499501459,0.6151397871,6151.39782714844,767.499501458994,280892.805362,677013.69101,0.130030065774918,0.02677914313972
"42","592","1473",Non woodland,Bare area,Scotland,409.692101864,0.526420084499,5264.20091247559,409.692101863878,284088.77053,677261.560138,-0.0796157419681549,-0.0233987402170897
"43","605","1486",Non woodland,Bare area,Scotland,334.676833032,0.72454084645,7245.40844726563,334.676833031486,285698.664514,678803.227614,0.0846056714653969,0.00399259012192488
"44","608","1489",Non woodland,Bare area,Scotland,469.418903888,0.5917084916,5917.0849609375,469.418903883658,250231.616444,678862.484019,0.0451659001410007,-0.0635844171047211
"45","609","1490",Non woodland,Bare area,Scotland,446.77031393,0.66613999915,6661.3999786377,446.770313929506,250084.925915,678897.849909,-0.0360510870814323,-0.0392223261296749
"46","614","1495",Non woodland,Bare area,Scotland,1177.86807192,2.37879156265,23787.9156341553,1177.86807192059,250014.970639,678874.488674,1.43445122241974,0.223968386650085
"47","615","1496",Non woodland,Bare area,Scotland,631.683707524,1.7453154335,17453.1543579102,631.683707524582,284845.515285,679234.594405,-0.0470000617206097,0.11366306245327
"48","618","1499",Non woodland,Bare area,Scotland,350.047653338,0.54700779515,5470.07794189453,350.047653336324,284094.147775,679490.202624,-0.0263691507279873,0.111377581954002
"49","629","1510",Non woodland,Bare area,Scotland,2513.77516099,11.6858012416,116858.013046265,2513.63290338712,250041.19578,680271.786403,-0.000562773086130619,-0.0338558629155159
"50","663","1544",Non woodland,Bare area,Scotland,331.902076532,0.5609589344,5609.58934020996,331.902076531193,267631.121751,683552.715248,-0.0899877771735191,0.03165502846241
"51","678","1559",Non woodland,Bare area,Scotland,419.019214543,0.55953198015,5595.31983947754,419.019214544316,279869.944296,684816.932575,0.109292767941952,0.00848572235554457
