fid,id,left,top,right,bottom,OC,VH_1,VV_1,VH_2,VV_2,VH_3,VV_3,VH_4,VV_4,VH_5,VV_5,BAND_11,BAND_12,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A,NDVI,EVI,SATVI,DEM_ELEV,DEM_CS,DEM_LSF,DEM_SLOPE,DEM_TWI
"65","65",12.97,46,13.01,46.04,26.6599903106689,0.0223301183432341,0.11176984757185,0.0269339941442013,0.137368336319923,0.0298288892954588,0.163339883089066,0.0303768198937178,0.12656444311142,0.0290601868182421,0.106009267270565,0.197452709078789,0.0905366167426109,0.0275818165391684,0.0527339056134224,0.0303190145641565,0.0924176573753357,0.327917277812958,0.401447325944901,0.394694209098816,0.436298608779907,-0.857326745986938,0.665042161941528,0.226987019181252,59.5400619506836,1.57036411762238,38.550968170166,89.9658813476563,0
"66","66",12.97,45.96,13.01,46,26.4775009155273,0.0166800525039434,0.0937370285391808,0.0194444227963686,0.0806217044591904,0.0292214397341013,0.143444031476974,0.0264342688024044,0.0869482979178429,0.0196939613670111,0.0902118235826492,0.258448898792267,0.137863323092461,0.0488789491355419,0.0899842083454132,0.0576052628457546,0.113442219793797,0.361415565013885,0.460144430398941,0.439052641391754,0.496068894863129,-0.768028378486633,0.672465801239014,0.236289262771606,38.2407646179199,1.56970942020416,37.786434173584,89.9778289794922,0
"67","67",12.97,45.92,13.01,45.96,26.3983707427979,0.0225162282586098,0.134819537401199,0.0206711292266846,0.106764018535614,0.032371498644352,0.124659143388271,0.024471728131175,0.107870221138,0.0200499761849642,0.0801085606217384,0.24191777408123,0.1595588773489,0.0813842117786407,0.121747367084026,0.114052630960941,0.146407783031464,0.271554440259933,0.307426661252975,0.322621047496796,0.331181108951569,-0.47762992978096,0.373362272977829,0.108816333115101,27.1430130004883,1.56934809684753,38.3898582458496,89.9641265869141,0
"99","99",13.01,46.12,13.05,46.16,17.4390316009521,0.0154783464968204,0.115015380084515,0.0219377111643553,0.0962794348597527,0.0184807069599628,0.0820505768060684,0.0131098702549934,0.080345056951046,0.0130404587835073,0.0752060040831566,0.162254184484482,0.0713122189044952,0.0310484375804663,0.0476154834032059,0.0312892012298107,0.064773865044117,0.296996891498566,0.469687640666962,0.474118173122406,0.495472222566605,-0.87618225812912,0.774723649024963,0.183799654245377,127.001197814941,1.56304097175598,40.037296295166,89.9244232177734,0
"100","100",13.01,46.08,13.05,46.12,18.0128631591797,0.026508379727602,0.170349314808846,0.0272603314369917,0.106822699308395,0.0334811098873615,0.161203011870384,0.0410151407122612,0.163207322359085,0.0172507520765066,0.0851897895336151,0.181649997830391,0.0892818123102188,0.0326342321932316,0.0498605147004128,0.0324004255235195,0.0688363611698151,0.273027271032333,0.415840923786163,0.4267238676548,0.439986377954483,-0.858859896659851,0.716238260269165,0.201229557394981,118.917175292969,1.56976401805878,38.577766418457,89.9545669555664,0
"101","101",13.01,46.04,13.05,46.08,21.0358829498291,0.044039249420166,0.189491271972656,0.0469315275549889,0.193266287446022,0.0370055623352528,0.179280444979668,0.0305997058749199,0.125198572874069,0.0273797512054443,0.133087486028671,0.223417177796364,0.115333527326584,0.0268590897321701,0.0447681806981564,0.0250590909272432,0.119430892169476,0.345518320798874,0.432650834321976,0.376154541969299,0.460756957530975,-0.875083565711975,0.662411272525787,0.260093510150909,89.1639175415039,1.56977915763855,39.6082954406738,89.9253005981445,0
"102","102",13.01,46,13.05,46.04,23.1955070495605,0.0175659265369177,0.0697067305445671,0.0175231844186783,0.0911960899829865,0.021264361217618,0.10760311037302,0.0158273205161095,0.0910863280296326,0.0153231155127287,0.0799363553524017,0.25797039270401,0.146631300449371,0.0500772520899773,0.0867855921387672,0.0713107362389565,0.125392556190491,0.349627554416656,0.42408075928688,0.420194894075394,0.450751006603241,-0.709827363491058,0.592341125011444,0.207527354359627,62.9949722290039,1.56957769393921,38.5887718200684,89.9581069946289,0
"103","103",13.01,45.96,13.05,46,25.6201171875,0.0191197823733091,0.130321055650711,0.0205598007887602,0.103742994368076,0.0240841992199421,0.141747295856476,0.017360582947731,0.100724205374718,0.0174863953143358,0.0908662304282188,0.157822668552399,0.0672457739710808,0.025511110201478,0.0427000001072884,0.0276833325624466,0.0569163225591183,0.264721244573593,0.404844492673874,0.416799992322922,0.431167513132095,-0.875435888767242,0.69906222820282,0.18592780828476,38.7119255065918,1.5693998336792,37.9034843444824,89.976188659668,0
"104","104",13.01,45.92,13.05,45.96,27.4085006713867,0.0369641222059727,0.147517472505569,0.0369074903428555,0.191701620817184,0.0412600003182888,0.160904839634895,0.050560001283884,0.161146357655525,0.0538123771548271,0.153753027319908,0.143071427941322,0.0605494491755962,0.0252805557101965,0.0461305566132069,0.0243472214788198,0.0765010938048363,0.277039557695389,0.347938477993011,0.361027777194977,0.381218701601028,-0.87364399433136,0.638859152793884,0.173121392726898,30.2405624389648,1.56909310817719,39.2139091491699,89.9116363525391,-25.6302375793457
"133","133",13.05,46.24,13.09,46.28,53.1353645324707,0.0361220799386501,0.148435369133949,0.037275567650795,0.144152700901031,0.0412242747843266,0.151574194431305,0.0330709666013718,0.148391351103783,0.037211686372757,0.122078135609627,0.187449783086777,0.0820257142186165,0.0319748595356941,0.056152556091547,0.0322461649775505,0.0873845815658569,0.306033670902252,0.369801133871078,0.35591334104538,0.394884794950485,-0.833850979804993,0.61788409948349,0.213482722640038,172.984451293945,1.57015800476074,37.9304389953613,89.9723205566406,0
"134","134",13.05,46.2,13.09,46.24,56.2670059204102,0.0417267307639122,0.198189079761505,0.0439302958548069,0.155374944210052,0.0369137860834599,0.175035774707794,0.037980280816555,0.172598034143448,0.0393053703010082,0.147746339440346,0.182122722268105,0.0782590880990028,0.0306153409183025,0.0474954545497894,0.0289522726088762,0.0689409077167511,0.292795449495316,0.364831835031509,0.414730131626129,0.401777267456055,-0.86949098110199,0.709761738777161,0.213820025324821,186.433197021484,1.57068562507629,37.0123329162598,89.9980010986328,0
