POINT_ID,OC,sample_ID,latitude,longitude,BAND_11,BAND_12,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,BAND_8A
"45542560.00",16.1,"13171",46.11,13.01,0.172485336661339,0.0809682235121727,0.0946092084050179,0.0805341824889183,0.056695181876421,0.07902592420578,0.24832409620285,0.372503876686096,0.35855707526207,0.397598177194595
"45542560.00",16.1,"13171",46.11,13.01,0.172485336661339,0.0809682235121727,0.0946092084050179,0.0805341824889183,0.056695181876421,0.07902592420578,0.24832409620285,0.372503876686096,0.35855707526207,0.397598177194595
"45542548.00",23.2,"13161",46,13.01,0.19430285692215,0.0848081558942795,0.0906029865145683,0.0863116011023521,0.0474442951381207,0.108161956071854,0.293266922235489,0.364132523536682,0.390117675065994,0.398644298315048
"45542548.00",23.2,"13161",46,13.01,0.19430285692215,0.0848081558942795,0.0906029865145683,0.0863116011023521,0.0474442951381207,0.108161956071854,0.293266922235489,0.364132523536682,0.390117675065994,0.398644298315048
"45542560.00",16.1,"13171",46.11,13.01,0.172485336661339,0.0809682235121727,0.0946092084050179,0.0805341824889183,0.056695181876421,0.07902592420578,0.24832409620285,0.372503876686096,0.35855707526207,0.397598177194595
"45542560.00",16.1,"13171",46.11,13.01,0.172485336661339,0.0809682235121727,0.0946092084050179,0.0805341824889183,0.056695181876421,0.07902592420578,0.24832409620285,0.372503876686096,0.35855707526207,0.397598177194595
"45542548.00",23.2,"13161",46,13.01,0.19430285692215,0.0848081558942795,0.0906029865145683,0.0863116011023521,0.0474442951381207,0.108161956071854,0.293266922235489,0.364132523536682,0.390117675065994,0.398644298315048
"45542548.00",23.2,"13161",46,13.01,0.19430285692215,0.0848081558942795,0.0906029865145683,0.0863116011023521,0.0474442951381207,0.108161956071854,0.293266922235489,0.364132523536682,0.390117675065994,0.398644298315048
"45562568.00",56.9,"13182",46.18,13.04,0.197392895817757,0.0846442654728889,0.0923353955149651,0.0847151428461075,0.0529211238026619,0.0907784849405289,0.284612357616425,0.364654451608658,0.362108677625656,0.407966464757919
"45562568.00",56.9,"13182",46.18,13.04,0.197392895817757,0.0846442654728889,0.0923353955149651,0.0847151428461075,0.0529211238026619,0.0907784849405289,0.284612357616425,0.364654451608658,0.362108677625656,0.407966464757919
"45562556.00",29.7,"13172",46.07,13.04,0.160146996378899,0.0618863366544247,0.0893184095621109,0.0774689689278603,0.0478720180690289,0.072457566857338,0.290945112705231,0.441576212644577,0.41521543264389,0.474606990814209
"45562556.00",29.7,"13172",46.07,13.04,0.160146996378899,0.0618863366544247,0.0893184095621109,0.0774689689278603,0.0478720180690289,0.072457566857338,0.290945112705231,0.441576212644577,0.41521543264389,0.474606990814209
"45562568.00",56.9,"13182",46.18,13.04,0.197392895817757,0.0846442654728889,0.0923353955149651,0.0847151428461075,0.0529211238026619,0.0907784849405289,0.284612357616425,0.364654451608658,0.362108677625656,0.407966464757919
"45562568.00",56.9,"13182",46.18,13.04,0.197392895817757,0.0846442654728889,0.0923353955149651,0.0847151428461075,0.0529211238026619,0.0907784849405289,0.284612357616425,0.364654451608658,0.362108677625656,0.407966464757919
"45562556.00",29.7,"13172",46.07,13.04,0.160146996378899,0.0618863366544247,0.0893184095621109,0.0774689689278603,0.0478720180690289,0.072457566857338,0.290945112705231,0.441576212644577,0.41521543264389,0.474606990814209
"45562556.00",29.7,"13172",46.07,13.04,0.160146996378899,0.0618863366544247,0.0893184095621109,0.0774689689278603,0.0478720180690289,0.072457566857338,0.290945112705231,0.441576212644577,0.41521543264389,0.474606990814209
"45582548.00",26.3,"13160",46,13.06,0.143463641405106,0.0547190047800541,0.090071827173233,0.0766947492957115,0.048011414706707,0.0676132217049599,0.275701820850372,0.459858804941177,0.446084588766098,0.500230312347412
"45582548.00",26.3,"13160",46,13.06,0.143463641405106,0.0547190047800541,0.090071827173233,0.0766947492957115,0.048011414706707,0.0676132217049599,0.275701820850372,0.459858804941177,0.446084588766098,0.500230312347412
"45662592.00",51.7,"13177",46.4,13.18,0.234033271670341,0.115320563316345,0.0998620390892029,0.0973813459277153,0.0685656517744064,0.128555342555046,0.298665523529053,0.352964580059052,0.36865097284317,0.393664479255676
"45662592.00",51.7,"13177",46.4,13.18,0.234033271670341,0.115320563316345,0.0998620390892029,0.0973813459277153,0.0685656517744064,0.128555342555046,0.298665523529053,0.352964580059052,0.36865097284317,0.393664479255676
"45662592.00",51.7,"13177",46.4,13.18,0.234033271670341,0.115320563316345,0.0998620390892029,0.0973813459277153,0.0685656517744064,0.128555342555046,0.298665523529053,0.352964580059052,0.36865097284317,0.393664479255676
"45662592.00",51.7,"13177",46.4,13.18,0.234033271670341,0.115320563316345,0.0998620390892029,0.0973813459277153,0.0685656517744064,0.128555342555046,0.298665523529053,0.352964580059052,0.36865097284317,0.393664479255676
"45702538.00",18.8,"13170",45.91,13.21,0.259472399950027,0.16396102309227,0.100437320768833,0.0947325229644775,0.0762044340372086,0.131642431020737,0.303604990243912,0.364139527082443,0.393942922353745,0.39924880862236
"45702564.00",9.3,"13183",46.14,13.22,0.155101463198662,0.0670314580202103,0.0929336473345757,0.0825922042131424,0.0536507032811642,0.0752137079834938,0.272091865539551,0.411235272884369,0.403648287057877,0.445589363574982
"45702564.00",9.3,"13183",46.14,13.22,0.155101463198662,0.0670314580202103,0.0929336473345757,0.0825922042131424,0.0536507032811642,0.0752137079834938,0.272091865539551,0.411235272884369,0.403648287057877,0.445589363574982
