idx,lr,epochs,dropout,layers,neurons,test_rmse,test_mae,test_r2
0.0,0.01,50.0,0.2,7.0,10.0,0.5805954899050345,0.4571407437324524,0.17455981823743505
1.0,0.01,50.0,0.2,7.0,20.0,0.5763813257086632,0.45500674843788147,0.18696743774522384
2.0,0.01,50.0,0.2,7.0,50.0,0.587426501431001,0.46016763150691986,0.15487308348606277
3.0,0.01,50.0,0.2,9.0,10.0,0.5896335263287571,0.4607926160097122,0.1469216328981014
4.0,0.01,50.0,0.2,9.0,20.0,0.5811681962397974,0.45722754299640656,0.17221519789377976
5.0,0.01,50.0,0.2,9.0,50.0,0.5863829234360511,0.46330858767032623,0.15930881046220374
6.0,0.01,50.0,0.2,10.0,10.0,0.6003152322638994,0.459767684340477,0.1168257466197038
7.0,0.01,50.0,0.2,10.0,20.0,0.5842107565166712,0.4598325490951538,0.16293705946461295
8.0,0.01,50.0,0.2,10.0,50.0,0.5679140599586816,0.45263807475566864,0.20755418007702708
9.0,0.01,50.0,0.5,7.0,10.0,0.6394009848337812,0.49256399273872375,-0.0007561463404025526
10.0,0.01,50.0,0.5,7.0,20.0,0.6289895326068187,0.4838167577981949,0.03159614250309878
11.0,0.01,50.0,0.5,7.0,50.0,0.6000843190869528,0.4605250209569931,0.11870287520251399
12.0,0.01,50.0,0.5,9.0,10.0,0.6401476287772935,0.4946921765804291,-0.002876069052360042
13.0,0.01,50.0,0.5,9.0,20.0,0.6376173568771524,0.48926135897636414,0.004938627217945246
14.0,0.01,50.0,0.5,9.0,50.0,0.6295918289051055,0.4842562824487686,0.029708349998036787
15.0,0.01,50.0,0.5,10.0,10.0,0.6389836935818531,0.49180641770362854,3.648785095872187e-05
16.0,0.01,50.0,0.5,10.0,20.0,0.6428384966921727,0.4918808043003082,-0.012266332130992763
17.0,0.01,50.0,0.5,10.0,50.0,0.6577129950244656,0.5060528069734573,-0.06120179649774704
18.0,0.01,100.0,0.2,7.0,10.0,0.5907047583174072,0.4617416113615036,0.14333278154102375
19.0,0.01,100.0,0.2,7.0,20.0,0.5941185242046496,0.46230165660381317,0.13452647485670227
20.0,0.01,100.0,0.2,7.0,50.0,0.5740292144070385,0.45336028933525085,0.19357641949095955
21.0,0.01,100.0,0.2,9.0,10.0,0.5839412000273851,0.4615481346845627,0.16462105296673024
