idx,n_estimators,max_features,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
0.0,100.0,1.0,0.1773615837097168,0.010609865188598633,0.6058255621442032,0.3670246117473399,0.07072489035286547
1.0,100.0,2.0,0.2602373123168945,0.011810493469238282,0.5852090681953573,0.3424696534980784,0.1325802559864104
2.0,100.0,3.0,0.31815276145935056,0.011410331726074219,0.5725985311956034,0.3278690779273624,0.16984826888726234
3.0,100.0,4.0,0.38214693069458006,0.011010169982910156,0.5629095155176973,0.31686712266036876,0.1977676539420682
4.0,100.0,5.0,0.4387989521026611,0.011009836196899414,0.5552892858901365,0.30834619102437777,0.21923149336081266
5.0,100.0,6.0,0.5242766380310059,0.013212108612060547,0.5510905424681813,0.30370078599787437,0.23098208282198457
6.0,100.0,7.0,0.5677340030670166,0.011209964752197266,0.5501242018588713,0.3026366374708603,0.2336018070418815
7.0,100.0,8.0,0.6246220111846924,0.01101226806640625,0.5425537416982437,0.2943645626307645,0.25434620591131046
8.0,100.0,9.0,0.68869047164917,0.01161041259765625,0.5407084577994393,0.29236563633584806,0.2593410378647003
9.0,100.0,10.0,0.7458744049072266,0.011810827255249023,0.5417381007475611,0.2934801698015747,0.2568403595578124
10.0,100.0,11.0,0.8142320156097412,0.011410331726074219,0.5355329568258854,0.28679554784667566,0.2734757455707938
11.0,100.0,12.0,0.8485728740692139,0.011009883880615235,0.5380279331811233,0.28947405688315125,0.2666182254903293
12.0,100.0,13.0,0.910227632522583,0.011209964752197266,0.5386538209484177,0.29014793882233003,0.26497935543631385
13.0,100.0,14.0,0.9874976634979248,0.012010908126831055,0.5349313643050554,0.28615156451726786,0.275058176076869
14.0,100.0,15.0,1.0486031532287599,0.011023235321044923,0.5327529458603479,0.2838257013228789,0.28103311412426224
15.0,100.0,16.0,1.1026344776153565,0.011044836044311524,0.5333972633286821,0.2845126405265274,0.27911513718825104
16.0,100.0,17.0,1.1364463806152343,0.011412286758422851,0.5339935907724309,0.2851491549860344,0.2774567846606516
